Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,Gls per 90,Ast per 90,G+A per 90,G-PK per 90,G+A-PK per 90,xG,npxG,xA,npxG+xA,xG per 90,xA per 90,xG+xA per 90,npxG per 90,npxG+xA per 90,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att_x,Tkl%,Past,Press,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Cmp,Att_y,Cmp%,TotDist,PrgDist,Cmp short,Att short,Cmp% short,Cmp medium,Att medium,Cmp% medium,Cmp long,Att long,Cmp% long,A-xA,KP,1/3,PPA,CrsPA,Prog
Tom Davies,ENG,MF,Everton,22.0,25,17,1423,15.8,0,1,0,0.0,0.06,0.06,0.0,0.06,0.2,0.2,1.0,1.1,0.01,0.06,0.07,0.01,0.07,33,28,21,11,1,10,40,25.0,30,272,91,33.5,115,123,34,21,8,0,13,34,67,30,1,573,684,83.8,10963,2685,236,264,89.4,252,284,88.7,78,107,72.9,0.0,7,43,7,2,47
Keinan Davis,ENG,FWMF,Aston Villa,22.0,15,1,277,3.1,1,1,1,0.32,0.32,0.65,0.32,0.65,1.0,1.0,0.5,1.5,0.34,0.16,0.49,0.34,0.49,3,3,1,1,1,0,1,0.0,1,63,16,25.4,4,33,26,2,1,0,1,0,3,2,0,58,79,73.4,843,141,36,40,90.0,19,29,65.5,2,4,50.0,0.5,5,1,3,0,3
Leif Davis,ENG,DF,Leeds United,20.0,2,0,33,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0.0,2,12,0,0.0,5,6,1,3,1,0,2,2,2,0,0,16,19,84.2,384,159,3,3,100.0,10,11,90.9,3,5,60.0,0.0,0,0,1,0,1
Craig Dawson,ENG,DF,West Ham,30.0,22,22,1925,21.4,3,0,3,0.14,0.0,0.14,0.14,0.14,1.7,1.7,0.0,1.7,0.08,0.0,0.08,0.08,0.08,13,11,13,0,0,3,12,25.0,9,145,45,31.0,96,46,3,32,25,1,7,39,52,133,1,592,718,82.5,14128,3945,129,140,92.1,303,328,92.4,153,237,64.6,0.0,1,41,1,0,25
Kevin De Bruyne,BEL,MF,Manchester City,29.0,25,23,1997,22.2,6,12,4,0.27,0.54,0.81,0.18,0.72,9.7,7.4,10.2,17.6,0.44,0.46,0.9,0.34,0.79,37,31,8,19,10,10,52,19.2,42,376,122,32.4,46,175,155,27,2,0,25,16,53,7,0,1068,1406,76.0,21109,6183,452,536,84.3,417,512,81.4,176,280,62.9,1.8,79,128,79,9,173
Fabian Delph,ENG,MFDF,Everton,30.0,8,2,266,3.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.01,0.03,0.04,0.01,0.04,5,2,3,2,0,1,2,50.0,1,30,6,20.0,12,18,0,4,0,0,4,4,9,3,0,206,234,88.0,3586,937,94,100,94.0,91,98,92.9,18,31,58.1,-0.1,2,15,1,0,15
Leander Dendoncker,BEL,MFDF,Wolves,25.0,33,28,2503,27.8,1,0,1,0.04,0.0,0.04,0.04,0.04,3.3,3.3,0.7,4.0,0.12,0.03,0.14,0.12,0.14,49,29,31,15,3,23,61,37.7,38,494,149,30.2,223,224,47,59,15,0,44,27,76,75,0,1021,1162,87.9,19322,4299,405,447,90.6,449,500,89.8,141,169,83.4,-0.7,16,64,8,2,62
Mbaye Diagne,SEN,FW,West Brom,28.0,16,14,1189,13.2,3,2,3,0.23,0.15,0.38,0.23,0.38,5.0,5.0,1.7,6.7,0.38,0.13,0.51,0.38,0.51,8,4,3,2,3,1,4,25.0,3,138,40,29.0,13,44,81,7,1,0,6,2,10,17,0,162,230,70.4,2398,456,105,127,82.7,42,70,60.0,12,21,57.1,0.3,12,13,5,2,16
Ibrahima Diallo,FRA,MF,Southampton,21.0,22,10,1020,11.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.6,1.2,0.05,0.05,0.11,0.05,0.11,30,25,14,14,2,9,23,39.1,14,242,82,33.9,81,144,17,14,1,0,13,16,46,16,0,500,587,85.2,8755,1972,219,247,88.7,230,249,92.4,41,76,53.9,-0.6,8,36,6,1,33
Grady Diangana,ENG,MFFW,West Brom,22.0,20,15,1235,13.7,1,0,1,0.07,0.0,0.07,0.07,0.07,1.2,1.2,0.2,1.4,0.09,0.01,0.1,0.09,0.1,35,19,22,5,8,14,36,38.9,22,309,67,21.7,142,96,71,30,2,0,28,14,49,5,1,256,351,72.9,3593,893,146,181,80.7,92,116,79.3,8,28,28.6,-0.2,5,15,7,0,26
